label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
2	1137 m^2	1.0137	Stockton	basketball	1120 kg	0.1879	921	1047	585	1.6182	0.9464	golf	1167	702
4	421 m^2	1.0316	Modesto	running	476 kg	0.9841	854	448	1327	0.5145	0.8377	motor sports	351	1151
4	369 m^2	0.9067	Long Beach	tennis	368 kg	0.8694	807	799	1048	0.2793	0.5089	Badminton	532	1018
5	1039 m^2	1.1443	San Bernardino	motor sports	819 kg	0.2743	882	1089	1236	0.8314	0.8273	football	291	1016
1	1027 m^2	0.8078	Sacramento	ice hockey	1046 kg	0.835	1093	227	680	0.8618	-0.0007	ice hockey	1109	724
7	1294 m^2	0.0933	San Francisco	soccer	1151 kg	0.6991	1327	862	1211	0.907	0.9927	track & field	86	772
3	948 m^2	1.2542	sacramento	badminton	1068 kg	1.2535	666	980	846	0.8994	0.8724	volleyball	1067	580
1	883 m^2	0.374	Sacramento	GOLF	1147 kg	1.0411	1191	475	1115	0.7464	-0.2684	ice hockey	1128	369
7	905 m^2	0.0637	San Francisco	soccer	939 kg	1.0257	1072	1461	593	0.8637	0.4628	baseball, track & field	-184	662
3	1422 m^2	0.7011	Santa Ana	badminton	1156 kg	1.0102	1076	859	901	0.736	0.7206	running, basketball	789	708
0	921 m^2	1.1273	Riverside	track & field	1116 kg	1.1604	910	1244	617	0.8033	0.8302	tennis	1100	9
5	454 m^2	1.0991	San Bernardino	boxing	569 kg	0.2022	1212	1200	1261	1.3232	1.1855	football	-45	750
1	549 m^2	0.5279	Sacramento	ice hockey	884 kg	1.1067	961	271	1322	0.8623	-0.0477	ice hockey	1001	543
2	868 m^2	0.8871	Anaheim	basketball	784 kg	0.3142	1035	559	-207	0.9952	1.1813	basketball	920	922
6	1128 m^2	0.7619	Bakersfield	badminton	1195 kg	0.75	586	852	965	1.1502	0.7106	boxing	884	1071
5	802 m^2	1.187	sAN bERNARDINO	motor sports	1284 kg	0.0435	1140	1020	1004	0.9924	0.9136	football	271	1029
5	1189 m^2	0.918	San Bernardino	boxing	627 kg	0.1535	1053	1260	876	0.9265	0.8671	football	202	1092
7	1006 m^2	0.4904	Oakland	soccer	896 kg	0.7809	841	1436	1453	1.126	0.8814	track & field, soccer	114	906
6	964 m^2	1.0495	Bakersfield	football	688 kg	0.9911	528	973	625	1.2298	0.4986	boxing	630	964
6	1405 m^2	0.6751	Irvine	volleyball	1219 kg	1.1551	326	1170	979	0.9452	0.5739	boxing	1185	1176
1	552 m^2	0.6936	Sacramento	ice hockey	708 kg	1.056	981	291	1303	0.8896	-0.2282	ice hockey	674	258
2	741 m^2	1.0115	Los Angeles	basketball	1030 kg	0.3974	1039	842	831	1.1686	0.8676	running	781	662
1	836 m^2	0.0973	Sacramento	running	1202 kg	1.1034	822	-8	1077	0.7997	0.071	ice hockey	665	276
2	1032 m^2	1.4082	Anaheim	basketball		-0.001	994	1086	-17	0.8609	1.079	boxing	1209	618
5	890 m^2	1.0408	San Bernardino	boxing	1103 kg	0.3028	1161	1281	532	0.7452	0.9852	football	19	994
6	709 m^2	1.126	Irvine	football	818 kg	0.7966	408	980	1189	0.9842	0.4146	boxing	1244	837
6	813 m^2	1.3229	bAKERSFIELD	volleyball	844 kg	0.8559	398	1153	1190	1.1532	0.1972	boxing	715	1350
3	942 m^2	0.7057	Santa Ana	badminton	903 kg	0.9478	725	902	984	1.133	0.8708	volleyball	973	606
7	1221 m^2	0.1329	San Francisco	basketball	689 kg	0.7171	1018	n/a	1253	0.7315	0.8855	running	338	1068
7	1369 m^2	0.0618	Oakland	track & field	895 kg	0.5039	1143	697	1355	0.8121	0.8674	track & field, baseball	-295	1027
6	803 m^2	0.9412	N/A	volleyball	1182 kg	0.993	650	1567	997	1.1418	0.3948	football	882	823
6	1019 m^2	1.3468	Irvine	volleyball	800 kg	1.0155	618	1000	892	1.1792	0.5947	boxing	541	1090
6	805 m^2	0.8986	Bakersfield	volleyball	674 kg	0.9533	450	894	1152	1.2719	0.5922	boxing	881	701
5	680 m^2	1.0707	San Bernardino	motor sports	1127 kg	-0.1762	1095	907	1066	0.7937	1.0172	football	215	1497
3	?	1.002	Santa Ana	track & field	1044 kg	1.265	722	801	971	0.8108	0.7028	volleyball	815	716
1	792 m^2	0.6551	Fremont	golf	899 kg	0.9218	1063	315	941	1.0095	0.2823	ice hockey	820	533
5	1157 m^2	0.897	San Bernardino	motor sports	804 kg	0.1364	991	645	977	0.6733	0.6069	tennis	107	640
4	824 m^2	0.8796	mODESTO	tennis	427 kg	0.9222	1094	632	1141	0.217	0.9897	badminton	822	1153
6	1110 m^2	0.4784	Irvine	volleyball	1132 kg	1.0787	558	1086	639	0.9294	0.7857	BOXING	815	900
3	1183 m^2	1.2114	Santa Ana	badminton	901 kg	1.0017	1020	1284	1083	0.824	1.3565	volleyball	1074	630
2	754 m^2	0.6382	San Diego	basketball	1018 kg	0.6646	766	720	486	1.0514	1.1641	basketball	928	903
3	796 m^2	0.9201	Santa Ana	badminton	816 kg	0.9944	1053	1044	1094	1.0383	0.7972	volleyball	856	773
3	1452 m^2	0.8572	Santa Ana	badminton	797 kg	0.8507	882	1392	1044	0.7574	1.2408	volleyball	556	753
6	826 m^2	0.8745	Irvine	volleyball	1180 kg	0.9548	397	883	863	0.9456	0.4881	boxing	1027	1115
1	1206 m^2	0.1933	Fremont	ice hockey	1253 kg	0.8684	1067	161	n/a	0.3551	0.1137	ice hockey	1370	535
1	880 m^2	0.5786	Sacramento	golf	806 kg	0.9236	931	83	892	0.8686	-0.0278	ice hockey	576	107
1	872 m^2	0.8053	Fremont	running	772 kg	0.7744	1087	413	849	1.2149	-0.1317	ice hockey	1408	361
7	1329 m^2	0.0064	San Francisco	soccer	646 kg	0.8455	1164	1384	1160	1.1397	1.0542	baseball	3	1212
0	1001 m^2	NULL	Fresno	track & field	784 kg	1.0382	928	1225	965	0.949	1.0071	tennis	1194	47
4	543 m^2	1.0968	Long Beach	tennis	329 kg	1.0435	1005	722	1825	0.3815	0.7325	badminton	422	1068
5	1088 m^2	0.8072	Chula Vista	motor sports	940 kg	0.082	1159	1124	1417	0.8959	1.1381	football	146	1261
1	781 m^2	0.5815	Sacramento	soccer	871 kg	0.5047	790	207	643	1.1846	-0.0732	ice hockey	1011	772
2	798 m^2	0.768	San Jose	basketball	710 kg	0.5405	1338	1091	93	0.998	0.8221	running, basketball	857	827
4	759 m^2	0.8917	Chula Vista	running	436 kg	1.0213	798	647	778	0.3563	0.7101	motor sports	445	814
4	343 m^2	0.499	Chula Vista	tennis	226 kg	0.7018	863	857	892	0.4147	0.8988	badminton	715	861
2	745 m^2	0.7274	Anaheim	basketball	1160 kg	0.4475	850	1118	618	1.1076	1.2422	golf	962	837
1	767 m^2	0.3061	Fremont	golf	1038 kg	0.9733	1231	-246	1171	1.4305	-0.1433	ice hockey	896	211
0	782 m^2	0.9607	Riverside	baseball	670 kg	1.1539	800	1030	1201	0.8589	0.6208	tennis	798	192
2	735 m^2	0.737	San Jose	badminton	830 kg	0.059	1232	889	266	1.3993	0.9368	golf	1532	1195
4	598 m^2	1.2603	Modesto	running	635 kg	0.998	533	677	847	0.0158	0.8897	soccer, track & field	349	972
4	14 m^2	0.7274	Long Beach	running	502 kg	0.7648	693	567	1100	0.8484	0.7341	motor sports	1270	769
7	579 m^2	0.1227	Moreno Valley	tennis	861 kg	0.2647	1153	1021	1096	1.1515	0.7708	soccer	-110	1018
4	547 m^2	1.0658	Chula Vista	tennis	413 kg	0.8381	851	686	1235	0.2081	0.8067	motor sports	1113	1090
4	431 m^2	0.8295	Modesto	volleyball	396 kg	1.0942	968	476	1049	0.4099	0.7769	badminton	84	914
5	622 m^2	1.1828	San Bernardino	boxing	877 kg	-0.0546	1104	681	1057	1.1206	1.3235	football	217	1220
4	387 m^2	0.9896	Long Beach	tennis	571 kg	0.8907	919	530	1033	0.4603	0.8271	tennis	176	945
4	355 m^2	1.3567	Chula Vista	running	482 kg	0.8781	1180	602	936	0.3221	0.553	motor sports	1118	474
6	831 m^2	1.1467	Bakersfield	volleyball	1461 kg	0.9964	518	783	963	1.235	0.3695	football	604	1217
1	1087 m^2	0.8674	Fremont	golf	962 kg	0.9834	967	301	1026	1.1693	-0.1343	ice hockey	1224	344
2	1222 m^2	0.7948	Los Angeles	basketball	953 kg	0.3704	1376	1047	231	0.4419	0.7945	running	897	968
4	321 m^2	0.851	Modesto	running	397 kg	1.0026	1006	888	969	0.5834	1.1327	BADMINTON	497	858
0	734 m^2	1.1193	Santa Ana	track & field	886 kg	0.958	983	754	585	0.8872	0.9289	tennis	426	-95
4	229 m^2	0.9195	Chula Vista	tennis	707 kg	0.8951	668	748	825	0.1619	0.8665	badminton	375	1348
6	1249 m^2	1.0224	Irvine	soccer	1144 kg	1.3072	509	1406	857	1.0779	?	boxing	849	1091
2	941 m^2	1.2472	Anaheim	basketball	733 kg	0.2568	885	966	112	1.3037	1.0443	golf, basketball	1182	715
0	1131 m^2	0.9409	Fresno	baseball	1303 kg	0.9031	822	1146	779	1.0866	0.9751	tennis	721	161
1	866 m^2	0.758	Sacramento	golf	1125 kg	0.8184	1243	407	1098	0.9336	-0.1355	ice hockey	n/a	650
6	1044 m^2	0.9434	bakersfield	volleyball	994 kg	1.1082	361	897	1079	0.9823	0.4132	boxing	1349	449
0	820 m^2	1.3143	Riverside	baseball	903 kg	1.0108	1489	1124	1161	1.039	1.0544	tennis	611	151
3	870 m^2	1.0217	Santa Ana	badminton	727 kg	1.0711	n/a	1105	1180	1.1545	1.0524	volleyball	895	865
4	252 m^2	0.9743	Modesto	running	430 kg	0.9258	971	726	1124	0.5116	1.1859	badminton	801	None
0	1165 m^2	0.9747	N/A	BASEBALL	911 kg	1.0466	1051	917	1198	0.7596	1.0382	tennis	967	176
0	862 m^2	NULL	Fresno	boxing	709 kg	0.8231	1120	836	1420	0.5535	1.0551	tennis	710	n/a
0	703 m^2	1.1117	Riverside	track & field	831 kg	1.0406	1148	741	797	0.7191	0.6623	tennis	1066	83
1	724 m^2	0.528	Fremont	golf	1047 kg	0.8811	891	104	697	0.5595	0.0307	ice hockey	1117	184
2	635 m^2	0.763	San Diego	basketball	1078 kg	0.3156	912	1544	208	1.0063	0.6855	running, golf	1224	1052
5	1079 m^2	0.9374	San Bernardino	boxing	1549 kg	0.4812	1000	1147	896	0.8156	1.2072	football	260	1008
7	1424 m^2	0.2768	Moreno Valley	soccer	492 kg	0.6274	903	1110	1190	1.3689	1.0507	track & field, soccer	-10	634
0	909 m^2	0.8389	Fresno	baseball	918 kg	0.8057	1218	968	971	1.0056	0.9633	Tennis	1097	419
0	1135 m^2	1.0733	Riverside	baseball	1043 kg	0.9715	1004	1319	1040	0.7669	1.1148	tennis	737	117
0	993 m^2	0.7266	Fresno	baseball	1193 kg	1.0629	1115	771	924	0.6539	0.8995	tennis	870	264
7	1154 m^2	0.0707	Moreno Valley	soccer	1066 kg	0.7059	1262	995	783	0.6505	0.9334	track & field	-423	735
2	1333 m^2	1.117	San Jose	badminton	1013 kg	0.4868	935	930	475	1.1013	1.1959	basketball, running	1194	827
6	647 m^2	0.8711	Bakersfield	volleyball	937 kg	1.078	648	1246	1026	1.1153	0.3594	boxing	1209	902
3	705 m^2	0.9794	Santa Ana	badminton	1039 kg	0.7404	865	864	385	1.1719	0.8985	volleyball	878	523
1	1391 m^2	0.809	sacramento	golf	1243 kg	0.8114	1063	112	1421	1.4929	-0.1948	ice hockey	702	
0	1605 m^2	1.1513	Fresno	track & field	1134 kg	1.4952	776	1417	N/A	0.7237	0.9796	tennis	156	65
2	1628 m^2	0.7151	San Jose	badminton	747 kg	0.2128	974	1083	667	1.0834	0.9235	golf, basketball	987	948
2	1107 m^2	0.6271	Los Angeles	basketball	894 kg	0.3494	1132	896	203	0.9242	1.3316	golf	1021	1268
6	1035 m^2	0.8109	iRVINE	boxing	912 kg	1.2018	477	1320	1094	1.1634	0.5022	boxing	900	950
3	812 m^2	0.9491	Santa Ana	badminton	907 kg	1.1811	1074	1206	406	1.0187	0.8631	volleyball	1109	530
1	492 m^2	0.4406	Fremont	ice hockey	801 kg	0.5445	976	323	743	0.8641	0.014	ice hockey	558	397
7	698 m^2	0.2992	Oakland	soccer	1063 kg	0.6058	1001	1121	1445	0.6462	0.9664	track & field, baseball	193	1252
3	585 m^2	1.1208	Santa Ana	badminton	1229 kg	1.0308	1113	799	908	0.9594	0.8536	volleyball	1257	954
0	1156 m^2	0.7768	Fresno	track & field	761 kg	1.1226	821	1346	1097	0.8152	0.8604	tennis	982	53
5	928 m^2	1.3415	San Bernardino	motor sports	668 kg	-0.1397	1104	1381	1395	0.9095	1.3391	N/A	158	901
5	736 m^2	1.1493	sAN bERNARDINO	badminton	840 kg	-0.0056	898	1175	890	0.8821	1.1017	football	520	1182
6	954 m^2	1.0656	Bakersfield	football	960 kg	1.1014	727	939	1139	1.306	0.4231	Boxing	851	976
4	515 m^2	0.979	Chula Vista	running	494 kg	0.3477	1027	990	1053	0.4617	0.87	motor sports	905	569
5	1056 m^2	1.3583	San Bernardino	motor sports	970 kg	-0.0856	1083	670	1030	0.8194	0.7024	football	283	790
5	981 m^2	0.6813	San Bernardino	baseball	758 kg	0.0516	826	772	1172	1.1984	1.2568	football	522	1052
4	470 m^2	0.7911	Chula Vista	RUNNING	315 kg	0.927	957	742	1003	0.5536	0.8254	badminton	314	1151
2	647 m^2	0.7162	Stockton	basketball	754 kg	0.4166	825	765	567	0.6355	0.7466	running	861	771
1	888 m^2	0.6542	Fremont	Golf	705 kg	1.0071	927	-264	1184	1.0324	-0.1406	ice hockey	758	623
0	865 m^2	0.8643	Fresno	baseball	970 kg	0.727	834	916	1012	0.8013	0.8515	tennis	989	163
1	892 m^2	0.4769	Fremont	golf	997 kg	1.0322	1319	225	961	1.4924	0.0845	football	675	
5	816 m^2	0.9874	San Bernardino	motor sports	967 kg	-0.0818	1283	1460	1355	0.847	1.1147	football	-63	1161
5	1117 m^2	0.7596	San Bernardino	motor sports	994 kg	0.2005	1179	715	1116	1.411	0.8771	football	67	854
4	N/A	1.2898	Chula Vista	tennis	596 kg	0.9401	1284	632	845	0.0881	0.6273	badminton	870	646
3	906 m^2	0.9031	Santa Ana	badminton	951 kg	1.0499	1173	822	1218	0.858	0.9836	volleyball	996	684
3	494 m^2	1.0345	Fremont	badminton	748 kg	0.9764	901	1288	689	0.9488	1.1011	volleyball	972	957
5	866 m^2	1.1552	San Bernardino	motor sports	953 kg	0.2618	1136	923	1305	1.2486	1.1261	football	405	1162
4	396 m^2	N/A	Chula Vista	tennis	364 kg	0.7067	858	713	996	0.6774	0.8386	ice hockey	521	633
1	870 m^2	0.4065	Sacramento	golf	826 kg	1.2003	811	167	992	1.1411	-0.0212	ice hockey	770	699
3	996 m^2	1.1512	Santa Ana	badminton	1140 kg	0.7297	1171	962	1312	0.7164	1.0759	volleyball	454	561
0	790 m^2	0.9821	Fresno	baseball	949 kg	1.1322	1124	1001	1355	0.9046	0.8551	tennis	924	113
6	990 m^2	0.7788	Bakersfield	volleyball	876 kg	1.124	646	833	1184	1.2297	0.3641	boxing	962	844
6	871 m^2	1.0374	Bakersfield	volleyball	801 kg	1.3304	426	991	1383	1.0075	0.1297	boxing	1158	815
1	1213 m^2	0.7955	Fremont	ice hockey	964 kg	0.9243	834	193	952	0.9265	-0.1871	ice hockey	934	?
6	692 m^2	0.884	Irvine	motor sports	705 kg	1.0947	281	1055	1049	1.4136	0.3749	boxing	1158	810
4	450 m^2	1.1631	LONG BEACH	tennis	19 kg	1.3401	1267	957	694	0.6716	0.7564	motor sports	456	1090
3	939 m^2	0.781	Santa Ana	badminton	1087 kg	0.8819	1262	1083	468	1.0661	1.1516	ice hockey	1147	632
6	743 m^2	0.9377	Irvine	football	1015 kg	0.9035	381	755	862	1.1195	0.4046	boxing	929	1294
2	1168 m^2	0.9317	Stockton	basketball	966 kg	0.4201	768	1097	346	0.7518	0.8278	running	884	1193
3	1056 m^2	n/a	Santa Ana	badminton	851 kg	0.8148	885	1028	461	0.7208	0.6618	volleyball	703	565
6	1127 m^2	0.7982	Bakersfield	soccer	1119 kg	0.758	326	738	892	1.6862	0.5776	boxing	1129	1123
0	1038 m^2	0.8073	Fresno	baseball	607 kg	0.67	684	829	1054	1.057	0.8005	tennis	1196	379
5	954 m^2	1.1506	San Bernardino	boxing	902 kg	0.1008	1199	928	1133	0.8062	1.0086	football	143	1032
4	665 m^2	1.1508	Chula Vista	baseball	220 kg	0.9173	1071	309	1280	0.2252	0.7892	badminton	330	1077
7	1469 m^2	0.2252	oAKLAND	motor sports	729 kg	0.5647	None	830	777	1.0237	0.9348	baseball	15	963
1	822 m^2	0.5171	Sacramento	golf	571 kg	1.0256	1076	NULL	1008	0.6125	0.3237	ice hockey	1183	285
5	801 m^2	1.1073	San Bernardino	motor sports	937 kg	0.4193	943	1356	1099	0.7634	0.8294	football	337	627
4	599 m^2	1.3103	Long Beach	tennis	739 kg	0.8789	878	422	1154	0.2202	0.7141	badminton	1102	941
5	924 m^2	1.0807	San Bernardino	motor sports	889 kg	-0.1471	1044	732	1265	0.9907	0.8646	football	208	892
6	980 m^2	1.561	Bakersfield	baseball	1420 kg	n/a	332	870	857	1.222	0.4702	boxing	867	839
4	411 m^2	0.7066	Chula Vista	running	420 kg	0.952	1119	557	1524	0.5756	0.8981	motor sports	810	940
5	1042 m^2	1.2063	San Bernardino	MOTOR SPORTS	887 kg	0.2148	1272	967	763	1.1138	1.1488	football	148	994
7	1094 m^2	-0.045	San Francisco	golf	985 kg	0.5112	831	1384	841	0.8673	1.0489	baseball	89	962
3	1371 m^2	0.6008	Santa Ana	badminton	1088 kg	0.8752	960	1299	797	0.9286	0.9606	volleyball	709	716
7	1423 m^2	0.3204	Oakland	soccer	926 kg	0.8555	1088	975	870	0.9622	1.0194	soccer, track & field	None	787
0	755 m^2	1.0156	Riverside	baseball	898 kg	0.7623	1123	989	1141	0.7452	1.0039	tennis	1530	-214
7	1484 m^2	0.0358	Oakland	soccer	932 kg	0.6622	822	866	1065	0.9243	0.8512	baseball, soccer	430	1176
1	891 m^2	0.0094	Sacramento	ice hockey	894 kg	0.9936	936	161	1174	0.7729	-0.1265	Ice Hockey	1062	906
2	968 m^2	0.9366	San Jose	basketball	631 kg	0.1578	1011	1198	486	1.0071	0.851	golf, running	907	1056
1	1230 m^2	0.3094	Fremont	ice hockey	1237 kg	0.6864	724	677	450	1.2294	-0.2503	motor sports	1236	357
0	1333 m^2	0.6505	Riverside	baseball	1262 kg	1.4342	944	1200	1079	1.0375	1.0309	tennis	1286	346
6	1158 m^2	1.0046	Bakersfield	football	1110 kg	0.8486	413	1069	504	0.8246	0.5136	boxing	985	820
3	1410 m^2	0.419	Santa Ana	badminton	818 kg	1.1485	1147	892	720	0.8346	0.9375	volleyball	704	617
3	1024 m^2	0.4767	Santa Ana	golf	1173 kg	1.1389	1323	1450	331	0.702	1.0053	volleyball	875	649
2	1315 m^2	1.0187	San Diego	basketball	1035 kg	0.2166	1089	783	525	0.8365	0.7804	basketball, golf	949	N/A
1	937 m^2	0.1141	Sacramento	golf	1178 kg	0.8391	953	-47	865	0.8901	0.1139	ice hockey	1531	797
7	1043 m^2	-0.0351	San Francisco	soccer	708 kg	0.6357	1127	1150	1233	0.822	1.1179	baseball	8	830
1	1280 m^2	0.2882	Sacramento	golf	696 kg	1.1911	746	28	1017	1.2369	0.09	ice hockey	1130	548
1	920 m^2	0.2411	Sacramento	golf	902 kg	1.0561	1288	81	733	0.6748	0.1076	ice hockey	1013	302
6	365 m^2	0.7828	Irvine	boxing	618 kg	1.2616	263	767	1029	0.9798	0.4088	boxing	695	624
1	929 m^2	0.6399	Sacramento	basketball	1119 kg	0.7017	847	518	1077	0.473	-0.2271	Ice Hockey	1329	213
4	554 m^2	0.9755	Chula Vista	tennis	392 kg	1.1134	1191	669	1145	0.443	0.5012	BADMINTON	798	925
0	1333 m^2	1.4251	Riverside	baseball	1173 kg	1.118	1149	1092	1368	?	0.923	tennis	880	235
7	1095 m^2	0.1973	Oakland	soccer	1054 kg	0.6144	890	982	900	0.8962	0.886	soccer, track & field	264	777
1	1191 m^2	0.7	Sacramento	golf	1075 kg	0.97	976	154	1157	1.0001	-0.0716	ice hockey	696	441
7	1047 m^2	0.4219	San Francisco	soccer	1122 kg	0.7347	1055	1367	1047	1.1089	1.1368	soccer, track & field	205	1259
6	1134 m^2	1.1135	Irvine	football	1206 kg	0.8413	460	885	1150	0.8473	0.3434	boxing	150	1216
1	1128 m^2	0.721	Sacramento	football	630 kg	0.8483	946	-221	623	1.3197	0.2208	track & field, soccer	718	234
2	1193 m^2	0.9383	Santa Clarita	basketball	898 kg	0.2406	1007	925	345	1.0056	1.2546	golf, running	754	1071
3	?	1.4104	rIVERSIDE	badminton	685 kg	1.1736	1260	1171	413	1.0537	1.427	volleyball	314	725
6	961 m^2	0.9396	Irvine	volleyball	1166 kg	0.8781	442	848	1438	1.1338	0.2192	volleyball	771	1089
6	1073 m^2	NULL	Irvine	volleyball	868 kg	0.9501	371	1114	864	N/A	0.2732	boxing	982	648
3	952 m^2	1.2152	Santa Ana	badminton	1070 kg	0.6089	957	952	748	0.94	0.9318	volleyball	1147	750
7	719 m^2	0.4227	Oakland	soccer	1132 kg	0.7201	1052	941	1182	1.0248	1.0641	baseball, soccer	-217	956
0	1003 m^2	0.7627	Fresno	baseball	1035 kg	0.9821	956	551	812	0.7976	0.9417	tennis	1171	87
1	1176 m^2	0.1781	Fremont	golf	996 kg	0.7976	1065	343	596	0.6846	0.1262	ice hockey	1021	412
7	1036 m^2	-0.4636	Moreno Valley	soccer	1011 kg	0.6592	1226	833	768	0.8919	0.8568	volleyball	-425	1008
5	899 m^2	0.7251	San Bernardino	motor sports	848 kg	0.1297	927	1277	1272	0.9971	1.1405	football	243	1548
1	1141 m^2	0.5575	Fresno	golf	1110 kg	0.8312	848	147	669	0.6636	-0.0668	ice hockey	1333	415
0	1030 m^2	1.1054	Fresno	track & field	1192 kg	1.0077	904	916	1403	0.8426	1.1234	tennis	973	416
2	939 m^2	0.8085	San Jose	basketball	775 kg	0.5507	892	859	931	0.9587	1.1024	running, golf	1390	1012
0	795 m^2	1.0378	Riverside	baseball	1051 kg	0.7624	1070	1153	1019	N/A	0.8276	tennis	900	-188
4	452 m^2	0.6972	Long Beach	badminton	275 kg	0.9689	1224	668	1007	0.6059	0.892	motor sports	803	1020
0	1047 m^2	0.8723	Fresno	ice hockey	1095 kg	0.9389	743	787	1208	0.7372	0.884	tennis	634	-202
6	854 m^2	1.1048	Irvine	football	846 kg	1.3967	678	919	947	1.1721	0.4707	boxing	637	1006
4	662 m^2	0.7163	Chula Vista	badminton	618 kg	1.1378	1070	758	773	0.4971	0.7106	badminton	343	859
2	1071 m^2	0.7625	Santa Clarita	basketball	951 kg	0.4094	848	903	146	1.1888	1.0147	basketball	978	939
5	935 m^2	0.5371	Fremont	basketball	843 kg	-0.1582	904	917	977	0.762	0.9722	football	191	1278
2	1036 m^2	0.5742	Anaheim	basketball	1040 kg	0.6669	1096	1071	792	0.9627	0.9123	running	1063	1107
4	572 m^2	1.2302	Modesto	tennis	250 kg	0.8839	1257	587	793	0.0284	0.6018	badminton	524	1352
6	1143 m^2	0.8281	bAKERSFIELD	basketball	1019 kg	1.2275	701	1109	1069	1.1193	0.3489	boxing	726	1204
7	796 m^2	-0.36	San Francisco	soccer	898 kg	0.8697	968	1016	1314	1.0593	0.8805	baseball, soccer	-362	1077
